train_mae_step,train_mse_step,train_pearson_r_step,train_r2_step,train_loss_step,epoch,step,val_mae,val_mse,val_pearson_r,val_r2,val_loss,train_mae,train_mse,train_pearson_r,train_r2,train_loss,test_kendall_tau,test_mae,test_mse,test_pearson_r,test_r2,test_loss
,,,,,9,3519,1.5098756551742554,3.845951557159424,0.9956340789794922,0.9903255105018616,3.8458738327026367,,,,,,,,,,,
,,,,,9,3519,,,,,,1.4150080680847168,3.9756295680999756,0.9949119687080383,0.9898315668106079,3.975543975830078,,,,,,
1.40875244140625,3.2872793674468994,0.9958652853965759,0.9901723861694336,3.2872793674468994,10,3549,,,,,,,,,,,,,,,,
1.3813812732696533,4.304356575012207,0.9937728047370911,0.9875052571296692,4.304356575012207,10,3599,,,,,,,,,,,,,,,,
1.4801615476608276,7.40248966217041,0.9909256100654602,0.9803811311721802,7.40248966217041,10,3649,,,,,,,,,,,,,,,,
1.4309852123260498,3.3048884868621826,0.9967164397239685,0.9928128719329834,3.3048884868621826,10,3699,,,,,,,,,,,,,,,,
1.1463842391967773,2.203364133834839,0.996092677116394,0.9921759963035583,2.203364133834839,10,3749,,,,,,,,,,,,,,,,
1.319393515586853,3.5358166694641113,0.9956092834472656,0.9911574721336365,3.5358166694641113,10,3799,,,,,,,,,,,,,,,,
1.276113510131836,2.9590837955474854,0.9967431426048279,0.9934082627296448,2.9590837955474854,10,3849,,,,,,,,,,,,,,,,
,,,,,10,3871,1.31337571144104,3.2615368366241455,0.9959003329277039,0.9917955994606018,3.261457681655884,,,,,,,,,,,
,,,,,10,3871,,,,,,1.411520004272461,3.9444122314453125,0.9949495196342468,0.9899122714996338,3.9446730613708496,,,,,,
1.3486881256103516,3.0983495712280273,0.9969788193702698,0.9924899935722351,3.0983495712280273,11,3899,,,,,,,,,,,,,,,,
1.6299560070037842,16.5832576751709,0.9787825345993042,0.9552559852600098,16.5832576751709,11,3949,,,,,,,,,,,,,,,,
1.2888963222503662,2.867522716522217,0.9954919815063477,0.9909632205963135,2.867522716522217,11,3999,,,,,,,,,,,,,,,,
1.3800047636032104,3.8387680053710938,0.9950035214424133,0.988707423210144,3.8387680053710938,11,4049,,,,,,,,,,,,,,,,
1.455978512763977,4.113399982452393,0.995212733745575,0.9898583292961121,4.113399982452393,11,4099,,,,,,,,,,,,,,,,
2.15841007232666,15.296756744384766,0.9856101870536804,0.9592468738555908,15.296756744384766,11,4149,,,,,,,,,,,,,,,,
1.5489546060562134,3.7572410106658936,0.996234655380249,0.9912142753601074,3.7572410106658936,11,4199,,,,,,,,,,,,,,,,
,,,,,11,4223,1.298193097114563,3.2146053314208984,0.9960888624191284,0.9919136166572571,3.214517593383789,,,,,,,,,,,
,,,,,11,4223,,,,,,1.4307420253753662,4.014276504516602,0.9948611259460449,0.9897335767745972,4.0134382247924805,,,,,,
1.51785147190094,4.279151916503906,0.9940638542175293,0.9878714084625244,4.279151916503906,12,4249,,,,,,,,,,,,,,,,
1.4331592321395874,3.5796988010406494,0.996050238609314,0.9912283420562744,3.5796988010406494,12,4299,,,,,,,,,,,,,,,,
2.016381025314331,6.795442581176758,0.9965275526046753,0.9851698875427246,6.795442581176758,12,4349,,,,,,,,,,,,,,,,
1.9837243556976318,5.47413444519043,0.9966095685958862,0.9844911694526672,5.47413444519043,12,4399,,,,,,,,,,,,,,,,
1.5484490394592285,3.8824174404144287,0.995638906955719,0.9894193410873413,3.8824174404144287,12,4449,,,,,,,,,,,,,,,,
1.6003825664520264,4.853973388671875,0.9960232377052307,0.9875048398971558,4.853973388671875,12,4499,,,,,,,,,,,,,,,,
1.329262375831604,3.1717143058776855,0.9962128400802612,0.9913766980171204,3.1717143058776855,12,4549,,,,,,,,,,,,,,,,
,,,,,12,4575,1.3318651914596558,3.410895347595215,0.9961650967597961,0.9914198517799377,3.410836696624756,,,,,,,,,,,
,,,,,12,4575,,,,,,1.441396951675415,4.049442291259766,0.9948159456253052,0.9896438121795654,4.048595428466797,,,,,,
1.4167892932891846,3.4107465744018555,0.9957278370857239,0.9905926585197449,3.4107465744018555,13,4599,,,,,,,,,,,,,,,,
1.552225112915039,3.884291648864746,0.99471515417099,0.9886481165885925,3.884291648864746,13,4649,,,,,,,,,,,,,,,,
1.5459699630737305,3.8375673294067383,0.9967289566993713,0.9906417727470398,3.8375673294067383,13,4699,,,,,,,,,,,,,,,,
1.3104130029678345,3.102494239807129,0.9962766766548157,0.9925512671470642,3.102494239807129,13,4749,,,,,,,,,,,,,,,,
1.3711671829223633,3.0050976276397705,0.9963091015815735,0.9912683367729187,3.0050976276397705,13,4799,,,,,,,,,,,,,,,,
1.4709229469299316,4.238912582397461,0.9944474697113037,0.9846779704093933,4.238912582397461,13,4849,,,,,,,,,,,,,,,,
1.3207626342773438,3.396867275238037,0.9962142109870911,0.9920036792755127,3.396867275238037,13,4899,,,,,,,,,,,,,,,,
,,,,,13,4927,1.2766085863113403,3.174302101135254,0.9961957335472107,0.99201500415802,3.174220085144043,,,,,,,,,,,
,,,,,13,4927,,,,,,1.4452989101409912,4.057204246520996,0.9948051571846008,0.9896234273910522,4.056559085845947,,,,,,
1.4263192415237427,10.478860855102539,0.9874252080917358,0.9733309149742126,10.478860855102539,14,4949,,,,,,,,,,,,,,,,
1.731337070465088,4.3898420333862305,0.99653160572052,0.9889379143714905,4.3898420333862305,14,4999,,,,,,,,,,,,,,,,
1.217198371887207,2.516213893890381,0.9966852068901062,0.9929059743881226,2.516213893890381,14,5049,,,,,,,,,,,,,,,,
1.3271397352218628,3.2956647872924805,0.9963024854660034,0.9925813674926758,3.2956647872924805,14,5099,,,,,,,,,,,,,,,,
1.3925158977508545,3.564804792404175,0.9964869022369385,0.9922596216201782,3.564804792404175,14,5149,,,,,,,,,,,,,,,,
1.2650994062423706,2.618577480316162,0.9973825812339783,0.994016706943512,2.618577480316162,14,5199,,,,,,,,,,,,,,,,
1.2854692935943604,3.10077166557312,0.996484637260437,0.992462694644928,3.10077166557312,14,5249,,,,,,,,,,,,,,,,
,,,,,14,5279,1.5470689535140991,3.8674395084381104,0.9962952733039856,0.9902714490890503,3.86730694770813,,,,,,,,,,,
,,,,,14,5279,,,,,,1.3902416229248047,3.813246726989746,0.995116114616394,0.9902470707893372,3.8132400512695312,,,,,,
1.3269870281219482,3.287943124771118,0.9962173700332642,0.9922072291374207,3.287943124771118,15,5299,,,,,,,,,,,,,,,,
1.2824676036834717,2.648463249206543,0.9973408579826355,0.9937043786048889,2.648463249206543,15,5349,,,,,,,,,,,,,,,,
1.4440664052963257,3.572821617126465,0.9954106211662292,0.9902622699737549,3.572821617126465,15,5399,,,,,,,,,,,,,,,,
1.2213916778564453,2.5384268760681152,0.9973564147949219,0.9946926236152649,2.5384268760681152,15,5449,,,,,,,,,,,,,,,,
1.4190382957458496,3.6220543384552,0.9959552884101868,0.9903427362442017,3.6220543384552,15,5499,,,,,,,,,,,,,,,,
1.9845271110534668,19.385744094848633,0.9821494221687317,0.95551598072052,19.385744094848633,15,5549,,,,,,,,,,,,,,,,
1.6745972633361816,11.001648902893066,0.9879971742630005,0.9730900526046753,11.001648902893066,15,5599,,,,,,,,,,,,,,,,
,,,,,15,5631,1.2600092887878418,2.9288060665130615,0.996337354183197,0.9926325678825378,2.928730010986328,,,,,,,,,,,
,,,,,15,5631,,,,,,1.4224597215652466,3.9503304958343506,0.9949410557746887,0.989896833896637,3.9497764110565186,,,,,,
1.7161803245544434,4.9821062088012695,0.9958855509757996,0.989744246006012,4.9821062088012695,16,5649,,,,,,,,,,,,,,,,
1.3868846893310547,5.512114524841309,0.9931849241256714,0.9857792258262634,5.512114524841309,16,5699,,,,,,,,,,,,,,,,
1.241905689239502,2.739656686782837,0.996501624584198,0.9926770925521851,2.739656686782837,16,5749,,,,,,,,,,,,,,,,
1.1228644847869873,2.1891767978668213,0.9977394938468933,0.9954594969749451,2.1891767978668213,16,5799,,,,,,,,,,,,,,,,
1.714281678199768,4.528552532196045,0.9968218207359314,0.9879529476165771,4.528552532196045,16,5849,,,,,,,,,,,,,,,,
1.4276857376098633,4.247475624084473,0.9949393272399902,0.9894195199012756,4.247475624084473,16,5899,,,,,,,,,,,,,,,,
1.3810062408447266,3.0780367851257324,0.9966312646865845,0.9919286370277405,3.0780367851257324,16,5949,,,,,,,,,,,,,,,,
,,,,,16,5983,1.5178334712982178,3.813892126083374,0.9964739084243774,0.9904061555862427,3.813782215118408,,,,,,,,,,,
,,,,,16,5983,,,,,,1.3543596267700195,3.647374153137207,0.9953281283378601,0.9906720519065857,3.6472244262695312,,,,,,
1.35512375831604,3.413956642150879,0.9965973496437073,0.9914152026176453,3.413956642150879,17,5999,,,,,,,,,,,,,,,,
1.1696199178695679,2.804610252380371,0.9964673519134521,0.9928932189941406,2.804610252380371,17,6049,,,,,,,,,,,,,,,,
1.2013874053955078,2.9439072608947754,0.996512234210968,0.9927460551261902,2.9439072608947754,17,6099,,,,,,,,,,,,,,,,
1.3835957050323486,3.4607179164886475,0.996168315410614,0.9897381663322449,3.4607179164886475,17,6149,,,,,,,,,,,,,,,,
1.1989994049072266,2.5849575996398926,0.9959609508514404,0.9918975234031677,2.5849575996398926,17,6199,,,,,,,,,,,,,,,,
